lead_time,cloud_error_pp,ghi_error_wm2
48,0.0,-33.30000000000001
72,0.0,-33.30000000000001
24,0.0,-34.19999999999999
48,0.0,-32.19999999999999
72,0.0,-32.19999999999999
24,0.0,-29.0
48,0.0,-26.0
72,0.0,-27.0
24,0.0,-36.200000000000045
48,0.0,-30.200000000000045
72,0.0,-30.200000000000045
24,0.0,-41.200000000000045
48,0.0,-36.200000000000045
72,0.0,-36.200000000000045
24,0.0,-44.299999999999955
48,0.0,-38.299999999999955
72,0.0,-36.299999999999955
24,0.0,-39.5
48,0.0,-35.5
72,0.0,-32.5
24,0.0,-18.69999999999999
48,0.0,-15.699999999999989
72,7.0,-14.699999999999989
24,-12.0,-2.0
48,-17.0,2.0
72,-11.0,2.0
