lead,month,daylight,site,n,p_cloud_eq_0,p_cloud_eq_100,p_cloud_between,p_cloud_outside_0_100,unique_values
D+3,2025-07,day,taizhou_2,437.0,0.18764302059496568,0.40045766590389015,0.4096109839816934,0.002288329519450801,66.0
D+3,2025-07,day,wuxi_1,424.0,0.11320754716981132,0.5306603773584906,0.3561320754716981,0.0,64.0
D+3,2025-07,day,xuzhou_1,434.0,0.31336405529953915,0.3778801843317972,0.3087557603686636,0.0,53.0
D+3,2025-07,day,xuzhou_2,434.0,0.27419354838709675,0.35944700460829493,0.3663594470046083,0.0,62.0
D+3,2025-07,day,yancheng_1,444.0,0.2635135135135135,0.38063063063063063,0.35585585585585583,0.0,55.0
D+3,2025-07,day,yancheng_2,441.0,0.26077097505668934,0.3922902494331066,0.3469387755102041,0.0,61.0
D+3,2025-07,day,yancheng_3,439.0,0.23006833712984054,0.4054669703872437,0.36446469248291574,0.0,66.0
D+3,2025-07,night,changzhou_1,316.0,0.16455696202531644,0.43037974683544306,0.4050632911392405,0.0,65.0
D+3,2025-07,night,huai_an_1,307.0,0.36807817589576547,0.3517915309446254,0.28013029315960913,0.0,43.0
D+3,2025-07,night,huai_an_2,303.0,0.3927392739273927,0.3465346534653465,0.25742574257425743,0.0033003300330033004,39.0
D+3,2025-07,night,huai_an_3,310.0,0.36451612903225805,0.3258064516129032,0.3096774193548387,0.0,44.0
D+3,2025-07,night,lianyungang_1,305.0,0.36065573770491804,0.33114754098360655,0.30491803278688523,0.003278688524590164,47.0
D+3,2025-07,night,lianyungang_2,299.0,0.3612040133779264,0.3076923076923077,0.3311036789297659,0.0,56.0
D+3,2025-07,night,nanjing_1,310.0,0.24193548387096775,0.38387096774193546,0.3741935483870968,0.0,54.0
D+3,2025-07,night,nanjing_2,311.0,0.21221864951768488,0.42443729903536975,0.3633440514469453,0.0,57.0
D+3,2025-07,night,nantong_1,313.0,0.19169329073482427,0.41533546325878595,0.3929712460063898,0.0,54.0
D+3,2025-07,night,nantong_2,316.0,0.2120253164556962,0.44936708860759494,0.33860759493670883,0.0,42.0
D+3,2025-07,night,suqian_1,310.0,0.35161290322580646,0.2709677419354839,0.3774193548387097,0.0,54.0
D+3,2025-07,night,suzhou_1,318.0,0.16666666666666666,0.4528301886792453,0.3805031446540881,0.0,55.0
D+3,2025-07,night,taizhou_1,308.0,0.3246753246753247,0.36688311688311687,0.30844155844155846,0.0,39.0
D+3,2025-07,night,taizhou_2,307.0,0.2280130293159609,0.36156351791530944,0.41042345276872966,0.0,43.0
D+3,2025-07,night,wuxi_1,320.0,0.20625,0.440625,0.353125,0.0,57.0
D+3,2025-07,night,xuzhou_1,310.0,0.34838709677419355,0.32903225806451614,0.3193548387096774,0.0032258064516129032,50.0
D+3,2025-07,night,xuzhou_2,310.0,0.3580645161290323,0.3419354838709677,0.3,0.0,45.0
D+3,2025-07,night,yancheng_1,300.0,0.3933333333333333,0.34,0.2633333333333333,0.0033333333333333335,40.0
D+3,2025-07,night,yancheng_2,303.0,0.297029702970297,0.38613861386138615,0.31683168316831684,0.0,38.0
D+3,2025-07,night,yancheng_3,305.0,0.31475409836065577,0.39344262295081966,0.29180327868852457,0.0,39.0
D+3,2025-08,day,changzhou_1,403.0,0.2456575682382134,0.39950372208436724,0.3548387096774194,0.0,47.0
D+3,2025-08,day,huai_an_1,404.0,0.18316831683168316,0.43564356435643564,0.3811881188118812,0.0,58.0
D+3,2025-08,day,huai_an_2,406.0,0.16748768472906403,0.5049261083743842,0.3275862068965517,0.0,60.0
D+3,2025-08,day,huai_an_3,408.0,0.1642156862745098,0.44362745098039214,0.39215686274509803,0.0,58.0
D+3,2025-08,day,lianyungang_1,411.0,0.1192214111922141,0.5231143552311436,0.35766423357664234,0.0,72.0
D+3,2025-08,day,lianyungang_2,407.0,0.15233415233415235,0.5184275184275184,0.32923832923832924,0.0,67.0
D+3,2025-08,day,nanjing_1,405.0,0.23950617283950618,0.3802469135802469,0.3802469135802469,0.0,55.0
D+3,2025-08,day,nanjing_2,403.0,0.24069478908188585,0.36228287841191065,0.3970223325062035,0.0,55.0
D+3,2025-08,day,nantong_1,403.0,0.21588089330024815,0.40198511166253104,0.37965260545905705,0.0024813895781637717,53.0
D+3,2025-08,day,nantong_2,403.0,0.19602977667493796,0.37220843672456577,0.4317617866004963,0.0,60.0
D+3,2025-08,day,suqian_1,411.0,0.17761557177615572,0.45742092457420924,0.36496350364963503,0.0,78.0
D+3,2025-08,day,suzhou_1,403.0,0.19851116625310175,0.3920595533498759,0.40694789081885857,0.0024813895781637717,53.0
D+3,2025-08,day,taizhou_1,403.0,0.22580645161290322,0.4267990074441687,0.34491315136476425,0.0024813895781637717,50.0
D+3,2025-08,day,taizhou_2,403.0,0.20347394540942929,0.48635235732009924,0.31017369727047145,0.0,56.0
D+3,2025-08,day,wuxi_1,403.0,0.2531017369727047,0.3325062034739454,0.4143920595533499,0.0,48.0
D+3,2025-08,day,xuzhou_1,418.0,0.1937799043062201,0.4904306220095694,0.3157894736842105,0.0,72.0
D+3,2025-08,day,xuzhou_2,414.0,0.15217391304347827,0.4855072463768116,0.36231884057971014,0.0,70.0
D+3,2025-08,day,yancheng_1,404.0,0.17574257425742573,0.4777227722772277,0.3465346534653465,0.0,60.0
D+3,2025-08,day,yancheng_2,403.0,0.1935483870967742,0.5062034739454094,0.3002481389578164,0.0,52.0
D+3,2025-08,day,yancheng_3,403.0,0.18610421836228289,0.4317617866004963,0.38213399503722084,0.0,51.0
D+3,2025-08,night,changzhou_1,341.0,0.26099706744868034,0.4340175953079179,0.30498533724340177,0.0,40.0
D+3,2025-08,night,huai_an_1,340.0,0.24705882352941178,0.49117647058823527,0.26176470588235295,0.0,46.0
D+3,2025-08,night,huai_an_2,338.0,0.21597633136094674,0.47928994082840237,0.3047337278106509,0.0,43.0
D+3,2025-08,night,huai_an_3,336.0,0.24107142857142858,0.48214285714285715,0.2767857142857143,0.0,55.0
D+3,2025-08,night,lianyungang_1,333.0,0.18018018018018017,0.46846846846846846,0.35135135135135137,0.0,58.0
D+3,2025-08,night,lianyungang_2,337.0,0.20771513353115728,0.4391691394658754,0.35311572700296734,0.0,58.0
D+3,2025-08,night,nanjing_1,339.0,0.2713864306784661,0.4424778761061947,0.2831858407079646,0.0029498525073746312,53.0
D+3,2025-08,night,nanjing_2,341.0,0.2727272727272727,0.45454545454545453,0.2668621700879765,0.005865102639296188,38.0
D+3,2025-08,night,nantong_1,341.0,0.25806451612903225,0.44868035190615835,0.2932551319648094,0.0,38.0
D+3,2025-08,night,nantong_2,341.0,0.22287390029325513,0.4252199413489736,0.3519061583577713,0.0,46.0
D+3,2025-08,night,suqian_1,333.0,0.2222222222222222,0.48348348348348347,0.29429429429429427,0.0,51.0
D+3,2025-08,night,suzhou_1,341.0,0.2375366568914956,0.4281524926686217,0.3313782991202346,0.002932551319648094,42.0
D+3,2025-08,night,taizhou_1,341.0,0.24633431085043989,0.501466275659824,0.25219941348973607,0.0,40.0
D+3,2025-08,night,taizhou_2,341.0,0.25513196480938416,0.45161290322580644,0.2932551319648094,0.0,44.0
D+3,2025-08,night,wuxi_1,341.0,0.2785923753665689,0.3870967741935484,0.3313782991202346,0.002932551319648094,33.0
D+3,2025-08,night,xuzhou_1,326.0,0.254601226993865,0.4570552147239264,0.2822085889570552,0.006134969325153374,54.0
D+3,2025-08,night,xuzhou_2,330.0,0.26666666666666666,0.4575757575757576,0.27575757575757576,0.0,46.0
D+3,2025-08,night,yancheng_1,340.0,0.24705882352941178,0.47352941176470587,0.27941176470588236,0.0,44.0
D+3,2025-08,night,yancheng_2,341.0,0.23460410557184752,0.4633431085043988,0.3020527859237537,0.0,43.0
D+3,2025-08,night,yancheng_3,341.0,0.2434017595307918,0.49853372434017595,0.25513196480938416,0.002932551319648094,39.0
D+3,2025-09,day,changzhou_1,379.0,0.047493403693931395,0.5620052770448549,0.39050131926121373,0.0,75.0
D+3,2025-09,day,huai_an_1,380.0,0.12631578947368421,0.6105263157894737,0.2631578947368421,0.0,58.0
D+3,2025-09,day,huai_an_2,380.0,0.15263157894736842,0.6526315789473685,0.19210526315789472,0.002631578947368421,43.0
D+3,2025-09,day,huai_an_3,380.0,0.15263157894736842,0.6157894736842106,0.23157894736842105,0.0,54.0
D+3,2025-09,day,lianyungang_1,380.0,0.2,0.6342105263157894,0.16578947368421051,0.0,45.0
D+3,2025-09,day,lianyungang_2,380.0,0.19736842105263158,0.618421052631579,0.18421052631578946,0.0,44.0
D+3,2025-09,day,nanjing_1,381.0,0.05774278215223097,0.5590551181102362,0.38320209973753283,0.0,69.0
