outer_fold,inner_fold,group,repeat,score_rows,baseline_mean_pinball,mean_pinball,delta_vs_full
outer_1,inner_2,meteorology,1,546,30.65732247888226,37.68994430173059,7.032621822848331
outer_1,inner_2,meteorology,2,546,30.65732247888226,37.985616172678625,7.328293693796365
outer_1,inner_2,solar_geometry,0,546,30.65732247888226,31.738424697426055,1.0811022185437942
outer_1,inner_2,solar_geometry,1,546,30.65732247888226,31.795347348782983,1.1380248699007218
outer_1,inner_2,solar_geometry,2,546,30.65732247888226,31.60337451771975,0.9460520388374896
outer_1,inner_2,temporal_dynamics,0,546,30.65732247888226,34.39082149841667,3.7334990195344098
outer_1,inner_2,temporal_dynamics,1,546,30.65732247888226,33.933577522333934,3.2762550434516733
outer_1,inner_2,temporal_dynamics,2,546,30.65732247888226,33.72112164456075,3.0637991656784926
outer_1,inner_3,radiation,0,570,35.91833259902701,93.05114951563957,57.132816916612555
outer_1,inner_3,radiation,1,570,35.91833259902701,100.93838549059133,65.02005289156432
outer_1,inner_3,radiation,2,570,35.91833259902701,100.52767360285279,64.60934100382578
outer_1,inner_3,clear_sky_kt,0,570,35.91833259902701,38.598030600020174,2.679698000993163
outer_1,inner_3,clear_sky_kt,1,570,35.91833259902701,38.91911360879906,3.000781009772048
outer_1,inner_3,clear_sky_kt,2,570,35.91833259902701,38.80755380670857,2.889221207681558
outer_1,inner_3,cloud,0,570,35.91833259902701,36.36133635730726,0.4430037582802484
outer_1,inner_3,cloud,1,570,35.91833259902701,36.40933638647338,0.49100378744636686
outer_1,inner_3,cloud,2,570,35.91833259902701,36.215170535692145,0.2968379366651348
outer_1,inner_3,meteorology,0,570,35.91833259902701,42.757161488164485,6.838828889137474
outer_1,inner_3,meteorology,1,570,35.91833259902701,42.417376460424634,6.499043861397624
outer_1,inner_3,meteorology,2,570,35.91833259902701,43.35220973624281,7.433877137215802
outer_1,inner_3,solar_geometry,0,570,35.91833259902701,37.723505334755906,1.8051727357288954
outer_1,inner_3,solar_geometry,1,570,35.91833259902701,37.58765283380567,1.6693202347786595
outer_1,inner_3,solar_geometry,2,570,35.91833259902701,37.11378657985327,1.195453980826258
outer_1,inner_3,temporal_dynamics,0,570,35.91833259902701,37.95202424105894,2.0336916420319326
outer_1,inner_3,temporal_dynamics,1,570,35.91833259902701,37.848504225807126,1.9301716267801154
outer_1,inner_3,temporal_dynamics,2,570,35.91833259902701,38.26186055249462,2.343527953467607
outer_2,inner_1,radiation,0,585,30.886233810964963,79.606752474001,48.72051866303603
outer_2,inner_1,radiation,1,585,30.886233810964963,82.3638722619133,51.477638450948334
outer_2,inner_1,radiation,2,585,30.886233810964963,82.88545312454782,51.999219313582856
outer_2,inner_1,clear_sky_kt,0,585,30.886233810964963,34.41753677554792,3.5313029645829594
outer_2,inner_1,clear_sky_kt,1,585,30.886233810964963,34.52572015202588,3.6394863410609197
outer_2,inner_1,clear_sky_kt,2,585,30.886233810964963,35.076211704802304,4.189977893837341
outer_2,inner_1,cloud,0,585,30.886233810964963,31.24673881329305,0.360505002328086
outer_2,inner_1,cloud,1,585,30.886233810964963,30.957704983396482,0.07147117243151868
outer_2,inner_1,cloud,2,585,30.886233810964963,31.1075157339335,0.22128192296853655
